class,rsi,adx,trend,preds,buy_sell,Date,Open,High,Low,Close,Volume,profits,,,,buy_thresh,0.65
1,46.92710731,30.24464324,-598.51,0.587637842,0,9/6/2017,4376.59,4617.25,4376.59,4597.12,2172100000,0,,,,,
1,55.57654026,28.38059898,-338.8428,0.587637842,0,9/7/2017,4589.14,4655.04,4491.33,4599.88,1844620000,0,,,,,
0,54.88523771,26.79928315,-298.568688,0.501831234,0,9/8/2017,4605.16,4661,4075.18,4228.75,2700890000,0,,,,,
0,39.20249829,26.00079521,-633.6851405,0.659629881,1,9/9/2017,4229.81,4308.82,4114.11,4226.06,1386230000,-3.75,,,,,
0,38.25050129,25.25934213,-601.8021349,0.659629881,1,9/10/2017,4229.34,4245.44,3951.04,4122.94,1679090000,-106.4,,,,,
1,33.75986007,25.08629444,-671.7320495,0.792460442,1,9/11/2017,4122.47,4261.67,4099.4,4161.27,1557330000,38.8,,,,,
0,34.81832565,24.84591083,-582.7841265,0.792460442,1,9/12/2017,4168.88,4344.65,4085.22,4130.81,1864530000,-38.07,,,,,
0,32.07440702,24.2085821,-565.6632789,0.792460442,1,9/13/2017,4131.98,4131.98,3789.92,3882.59,2219410000,-249.39,,,,,
0,23.53464867,24.54379976,-769.1572822,0.792460442,1,9/14/2017,3875.37,3920.6,3153.86,3154.95,2716310000,-720.42,,,,,
1,11.86097453,26.19405049,-1427.8511,0.813023031,1,9/15/2017,3166.3,3733.45,2946.62,3637.52,4148070000,471.22,,,,,
0,33.31117129,28.04308106,-802.3869896,0.792460442,1,9/16/2017,3637.75,3808.84,3487.79,3625.04,1818400000,-12.71,,,,,
0,33.57791266,29.41124163,-635.6725509,0.792460442,1,9/17/2017,3606.28,3664.81,3445.64,3582.88,1239150000,-23.4,,,,,
1,32.78819115,30.75320953,-520.1414448,0.792460442,1,9/18/2017,3591.09,4079.23,3591.09,4065.2,1943210000,474.11,,,,,
0,50.68690993,30.22902782,-14.03,0.644084156,0,9/19/2017,4073.79,4094.07,3868.87,3924.97,1563980000,0,,,,,
0,47.06272259,29.68579998,978.35,0.311725557,-1,9/20/2017,3916.36,4031.39,3857.73,3905.95,1213830000,10.41,,,,,
0,47.13184197,29.20985716,959.33,0.311725557,-1,9/21/2017,3901.47,3916.42,3613.63,3631.04,1411480000,270.43,,,,,
1,40.42588725,29.36407604,638.522,0.311457694,-1,9/22/2017,3628.02,3758.27,3553.53,3630.7,1194830000,-2.68,,,,,
1,41.41002155,29.64427488,594.11992,0.235538512,-1,9/23/2017,3629.92,3819.21,3594.58,3792.4,928114000,-162.48,,,,,
0,48.50996665,29.62253617,713.5203232,0.383242458,0,9/24/2017,3796.15,3796.15,3666.9,3682.84,768015000,0,,,,,
1,45.43948903,29.60235022,563.3527103,0.343362123,-1,9/25/2017,3681.58,3950.25,3681.58,3926.07,1374210000,-244.49,,,,,
0,55.63213084,28.84539843,767.5994019,0.383242458,0,9/26/2017,3928.41,3969.89,3869.9,3892.35,1043740000,0,,,,,
1,55.76742146,28.05030046,696.4554258,0.383242458,0,9/27/2017,3892.94,4210.05,3884.82,4200.67,1686880000,0,,,,,
0,68.00270032,26.26097217,968.8484088,0.407636851,0,9/28/2017,4197.13,4279.31,4109.7,4174.73,1712320000,0,,,,,
0,68.92351993,24.44586853,884.2147042,0.407636851,0,9/29/2017,4171.62,4214.63,4039.29,4163.07,1367050000,0,,,,,
1,67.55118852,22.9221973,793.4511279,0.407636851,0,9/30/2017,4166.11,4358.43,4160.86,4338.71,1207450000,0,,,,,
1,73.83434767,21.64850568,896.3158377,0.502772033,0,10/1/2017,4341.05,4403.74,4269.81,4403.74,1208210000,0,,,,,
1,76.72829588,20.64402532,869.7422539,0.431843221,0,10/2/2017,4395.81,4470.23,4377.46,4409.32,1431730000,0,,,,,
0,78.19603021,19.97461458,770.9531834,0.45575881,0,10/3/2017,4408.46,4432.47,4258.89,4317.48,1288020000,0,,,,,
0,71.10793258,18.78745849,562.6523377,0.407636851,0,10/4/2017,4319.37,4352.31,4210.42,4229.36,1116770000,0,,,,,
1,63.63568551,17.46086185,374.3760105,0.407636851,0,10/5/2017,4229.88,4362.64,4164.05,4328.41,1161770000,0,,,,,
1,69.32486923,16.41550216,387.291569,0.407636851,0,10/6/2017,4324.46,4413.27,4320.53,4370.81,1069940000,0,,,,,
1,70.51967044,15.29415471,355.6159493,0.407636851,0,10/7/2017,4369.35,4443.88,4321.05,4426.89,906928000,0,,,,,
1,72.45376197,14.40848499,347.9909164,0.333200902,-1,10/8/2017,4429.67,4624.14,4405.64,4610.48,1313870000,-180.81,,,,,
1,79.72896757,14.43324681,476.7945881,0.344976008,-1,10/9/2017,4614.52,4878.71,4564.25,4772.02,1968740000,-157.5,,,,,
1,83.77016119,15.41011655,559.861854,0.45575881,0,10/10/2017,4776.21,4922.17,4765.1,4781.99,1597140000,0,,,,,
1,84.37013167,16.4609677,449.8525203,0.495034248,0,10/11/2017,4789.25,4873.73,4751.63,4826.48,1222280000,0,,,,,
1,85.64239642,17.35071148,376.3360162,0.495034248,0,10/12/2017,4829.58,5446.91,4822,5446.91,2791610000,0,,,,,
1,93.79235779,19.68930997,902.360813,0.41030103,0,10/13/2017,5464.16,5840.3,5436.85,5647.21,3615480000,0,,,,,
1,95.31649701,22.50411836,904.1414341,0.437974215,0,10/14/2017,5643.53,5837.7,5591.64,5831.79,1669030000,0,,,,,
0,96.5094143,25.11786901,825.3858899,0.437974215,0,10/15/2017,5835.96,5852.48,5478.61,5678.19,1976040000,0,,,,,
1,85.79206229,26.90038855,471.6508764,0.495034248,0,10/16/2017,5687.57,5776.23,5544.21,5725.59,2008070000,0,,,,,
0,86.68554108,28.55558527,351.1062485,0.495034248,0,10/17/2017,5741.58,5800.35,5472.72,5605.51,1821570000,0,,,,,
0,78.37951068,29.66439316,132.79,0.632809699,0,10/18/2017,5603.82,5603.82,5151.44,5590.69,2399270000,0,,,,,
1,76.7977746,29.02685416,-261.79,0.422461897,0,10/19/2017,5583.74,5744.35,5531.06,5708.52,1780540000,0,,,,,
1,78.31337172,28.83624419,-143.96,0.693191886,1,10/20/2017,5708.11,6060.11,5627.23,6011.45,2354430000,303.34,,,,,
1,82.95140791,29.42951375,860.01,0.45575881,0,10/21/2017,5996.79,6194.88,5965.07,6031.6,2207100000,0,,,,,
0,82.67419232,30.26355117,880.16,0.45575881,0,10/22/2017,6036.66,6076.26,5792.34,6008.42,2034630000,0,,,,,
0,79.9443492,30.23095534,815.2424,0.45575881,0,10/23/2017,6006,6075.59,5732.47,5930.32,2401840000,0,,,,,
0,71.99763853,29.93159982,697.074304,0.407636851,0,10/24/2017,5935.52,5935.52,5504.18,5526.64,2735700000,0,,,,,
