currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic,risk_adj_return,buy_sell,profits
ethereum,17455,336.6,62.46483845,333.38,1,10.3684,3.22,0.009658648,Inf,0,0,1,-92.56389366,0,0,0
ethereum,17456,333.38,61.7003245,317.08,1,265.69,16.3,0.051406585,Inf,0,0,1,-92.72018255,-0.074136818,0,0
ethereum,17457,313.7478234,44.94631261,314.32,1,0.327386038,0.572176579,0.001820363,Inf,1,0,0,-106.0053982,-0.062536653,0,0
ethereum,17458,311.5540857,44.22869083,308.09,1,11.99988968,3.464085692,0.011243746,Inf,1,0,0,-106.4911781,-0.036942583,0,0
ethereum,17459,306.4830102,43.49966113,304.01,1,6.115779277,2.473010165,0.008134634,Inf,1,0,0,-106.5500429,0,0,0
ethereum,17460,304.01,40.87846086,300.19,1,14.5924,3.82,0.012725274,Inf,0,0,1,-111.2101699,-0.010862297,0,0
ethereum,17461,299.7680615,38.84431948,295.45,1,18.64565469,4.318061451,0.014615202,Inf,1,0,0,-111.7739349,0.05735043,0,0
ethereum,17462,297.126888,29.23932709,286.95,1,103.5690491,10.17688799,0.035465719,Inf,0,3,0,-120.8846907,0.064003347,0,0
ethereum,17463,288.8239786,29.27938491,298.33,1,90.36444247,9.50602138,0.031864115,Inf,0,3,0,-119.497747,0.161940584,1,0
ethereum,17464,303.3209044,30.81935513,297.93,1,29.06184984,5.390904362,0.018094533,Inf,0,3,0,-119.9050403,0.0151121,0,-0.4
ethereum,17465,298.3903316,30.46112793,296.53,1,3.460833707,1.860331612,0.006273671,Inf,0,3,0,-119.5653465,0.340017048,1,0
ethereum,17466,306.0108262,27.88338497,297.42,1,73.80229537,8.590826233,0.028884494,Inf,0,3,0,-125.8669794,-0.162602129,-1,0.89
ethereum,17467,292.9507151,27.48601687,296.3,1,11.21770904,3.349284855,0.011303695,Inf,0,3,0,-124.72922,0.117123312,1,1.12
ethereum,17468,299.4696862,27.06281255,305.09,1,31.58792689,5.620313771,0.018421822,Inf,0,3,0,-126.1341376,0.042344006,0,8.79
ethereum,17469,306.2283029,26.88226779,307.75,1,2.315562059,1.521697098,0.004944588,Inf,0,3,0,-128.3514262,0.270700087,1,0
ethereum,17470,314.868112,26.29519646,305.88,1,80.78615664,8.988111962,0.029384438,Inf,0,3,0,-129.4366221,-0.095927602,-1,-1.87
ethereum,17471,303.3081241,26.8105933,291.69,1,134.9808074,11.61812409,0.039830382,Inf,0,3,0,-127.9886198,-0.05615519,0,14.19
ethereum,17472,290.1900809,26.71024985,287.43,1,7.61804631,2.760080852,0.009602619,Inf,0,3,0,-125.4476594,0.092217771,1,0
ethereum,17473,289.8946605,26.72652422,305.71,1,250.1249637,15.81533951,0.051733144,Inf,0,3,0,-125.2959647,0.21622271,1,18.28
ethereum,17474,312.4376395,31.11439825,300.47,1,143.2243954,11.96763951,0.039829732,Inf,0,3,0,-120.871239,0.041857366,0,-5.24
ethereum,17475,301.8717127,33.48783917,296.26,1,31.4913199,5.611712742,0.018941851,Inf,1,0,0,-121.5340157,0.068168685,0,0
ethereum,17476,298.5321759,33.33166704,298.89,1,0.128038085,0.357824098,0.001197177,Inf,1,0,0,-121.1267583,0.046798747,0,0
